Groups:
adc_data[11..0] =, adc_data[11], adc_data[10], adc_data[9], adc_data[8], adc_data[7], adc_data[6], adc_data[5], adc_data[4], adc_data[3], adc_data[2], adc_data[1], adc_data[0],  unsigned decimal

Data:
time unit: ns, adc_data[11..0], adc_data[11], adc_data[10], adc_data[9], adc_data[8], adc_data[7], adc_data[6], adc_data[5], adc_data[4], adc_data[3], adc_data[2], adc_data[1], adc_data[0], adc_data_valid, 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
4400, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4420, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4440, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4460, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4480, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4500, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4520, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4540, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4560, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4580, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4600, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4620, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4640, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4660, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4680, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4700, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4720, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
4740, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
